,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
EGYPT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOROCCO,718437.259975795,722721.5477177732,726986.4209484027,731051.5189119648,735100.5778161528,739134.0361546456,743152.3198420253,747158.2489240179,750745.5634522908,754320.2666785184,757882.7160357386,761433.2579336097,764973.1696759696,767967.0715715358,771110.733059948,774262.583267106,777412.6473291164,780548.4260764064,783204.7320104009,785876.2002663151,788566.7398625908,791253.661596209,793932.4166238181,796124.9254678949,798350.5677839011,800704.6970159803,803047.3089138428,805424.7101683036,808263.62205742,812314.5703881858,816378.2271541737,820454.8134071345,824544.6117965918,827962.1139591464,831401.3911862281,834883.070643068,838383.3826793069,841894.8399701244
SUDAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUNISIA,204067.69980927237,203037.40875649516,202031.22104935936,200998.3770869239,199989.97586776872,199005.30635716926,198043.68731189813,197105.1085108088,196081.96046039453,195082.41014686762,194105.79416912046,193151.4755606013,192219.0638150391,191173.90555094657,190191.63807408974,189235.6206403994,188302.6402424041,187389.04986543738,186383.50052017788,185405.22013588465,184454.10293022322,183524.21684405446,182613.95195262355,181613.5067899112,180642.34865870533,179720.21296188378,178815.950991948,177939.4500343408,176961.94455010907,176004.3885837661,175064.79188160997,174142.71537957233,173237.7479401831,172206.58602433317,171196.22603651753,170210.40458629339,169243.59217885789,168293.80223609626
BOTSWANA,493596.09568636783,497488.4696841114,501383.9663902145,505156.88821509405,508934.1663801004,512716.1016527567,516502.9896873547,520296.7552658294,523817.40343692416,527343.3579352725,530874.8776215775,534412.2167064542,537956.5168211206,541134.066639814,544432.1398569496,547749.2897662766,551078.4791751379,554410.3030373164,557410.9821652897,560432.2431004633,563480.7190739118,566538.7854568973,569602.6315119633,572328.118002046,575095.1072398336,577989.9529751536,580887.7324141113,583820.8967201194,586364.9617861264,588916.9669142129,591471.6168698093,594029.0174661849,596589.3249986148,598658.2007885086,600735.7173926615,602836.7527653929,604944.8367027431,607054.4649529532
LESOTHO,30011.392254177917,30171.689884575597,30330.36317669694,30480.248141646556,30628.6425795157,30775.56202910949,30921.021604918617,31065.128070957293,31191.868401680098,31317.272995853302,31441.35441522403,31564.12485007917,31685.659166363468,31784.731134679572,31888.759590082012,31992.29097759018,32094.94711816402,32196.197818255914,32277.127654109718,32357.744487298176,32438.49296725248,32518.337619036032,32597.054139815293,32655.4217363074,32714.717626219735,32779.6223456702,32843.30887384,32907.537241288956,32948.703216878625,32989.143124376445,33028.491923108784,33066.754888799805,33103.94023966381,33113.08846196893,33121.74558356108,33130.63003555626,33138.863802697284,33146.13924110153
NAMIBIA,670199.250525951,669729.9412121864,669254.5599546473,668612.8780699902,667970.0314520426,667326.2945047631,666681.9253458219,666039.206993431,665046.7930238349,664059.9574851074,663078.76750321,662103.2810893126,661134.4126871958,659718.7961702207,658450.5289398638,657208.2270463754,655983.1054957265,654763.4358554141,653158.8886468237,651586.0627699265,650051.2503558845,648533.9455299331,647029.583448939,645150.3002919984,643329.3549964514,641662.2170680453,640006.4363487536,638395.3542799846,636368.3951694627,634363.726532859,632374.6754340392,630400.9756197449,628442.4150043053,625982.9318728574,623552.6869972392,621165.1217282298,618802.7620112653,616459.505970141
SOUTHAFRICA,1996798.0823117872,1989142.7357543295,1981658.9064702594,1973846.3429820845,1966211.9609998947,1958751.3321466604,1951460.1872674066,1944340.721945883,1936330.1845049283,1928498.5001076844,1920841.2655831084,1913354.2310754051,1906035.3349812275,1897543.9010356853,1889640.754221207,1881954.2104718215,1874453.5104911982,1867102.209849915,1858778.6537368528,1850682.193261173,1842817.577622943,1835125.7252824795,1827591.3877171867,1819107.0377775219,1810892.714461055,1803182.0642425609,1795614.5215195054,1788287.5432839962,1779902.4948847305,1771682.8260185735,1763609.9260107751,1755680.4834160677,1747891.4211972174,1738793.6061049986,1729871.891908266,1721165.8530832082,1712621.0512413762,1704218.4124096427
BENIN,8494.39778685692,8525.678232680411,8556.200178029248,8583.9199956615,8610.920863302039,8637.208289533835,8662.787656184717,8687.689198505283,8707.5251798091,8726.702349645793,8745.22544040858,8763.099072730722,8780.35130673104,8791.224430600076,8803.186719186286,8814.736004842222,8825.770007060151,8836.14233201686,8840.694747718004,8844.887610999029,8848.890787266682,8852.400874094086,8855.350226261764,8852.580337477046,8849.879221590414,8848.618529101106,8846.794448359251,8844.880744600161,8836.566126841019,8827.858007042267,8818.652404786642,8808.952384037075,8798.761920345187,8780.993358798754,8762.917393017155,8744.728094699449,8726.198297314462,8707.24695722945
BURKINAFASO,58538.407063272374,58815.525157745426,59089.65393501936,59346.49481431674,59600.63559632601,59852.10524354534,60100.93175655894,60347.32870198946,60559.24292285871,60768.78729294439,60975.98440679253,61180.85603756293,61383.50797434613,61541.69295462239,61710.353697112616,61878.364346527414,62044.943134442445,62209.042101924286,62333.62585215116,62458.007903380116,62582.75711688849,62705.980477690486,62827.28167820197,62909.01137734939,62992.69472920171,63087.05859472186,63179.29920654827,63272.8441678459,63321.99977435581,63369.901310811794,63415.92736989684,63460.08708841989,63502.39448917743,63490.577127865574,63478.03589638721,63466.22499309269,63453.38642135267,63438.94031870642
CABOVERDE,580.3612163213944,584.9752576882969,589.5995858031207,594.0813912166248,598.5756750686512,603.0829268363439,607.6036283184451,612.1403324252676,616.3515888619952,620.5772472117903,624.8177389503147,629.0734888348759,633.3455972776276,637.1823115844671,641.1716349396502,645.1923402330414,649.2359808623211,653.2923286005419,656.9683352011635,660.6814300492404,664.4329722554145,668.2048620977346,671.9936843634729,675.3905367478698,678.8355138636949,682.4047032830339,685.9871433462034,689.6244340493813,692.8132639113273,696.0200943536611,699.2397980930517,702.4725970414254,705.7187644211883,708.3883756752385,711.0782862278741,713.8088650897754,716.5576191015642,719.3181352483883
CTEDIVOIRE,98906.14436529197,98613.05584314102,98307.41096956948,97966.19905857224,97613.43397183415,97249.56630832297,96875.03271466283,96490.47414429557,96057.75755948413,95616.12743047469,95165.95721052437,94707.60880343559,94242.44902359265,93723.9072224356,93209.67533742783,92689.61046375158,92163.33207895534,91630.29230525235,91045.83983875929,90457.71608878368,89871.3230725913,89281.93249588876,88688.42286862647,88049.08958156109,87411.21619622808,86784.1085941631,86154.5063764038,85528.85648129595,84850.62743669038,84173.56655900321,83496.11632000875,82818.40829894082,82140.59287206152,81403.81841078878,80669.25687748079,79938.76923512913,79210.83948236785,78484.61623083863
GAMBIA,2468.2246723156204,2483.828627413231,2499.3503821326644,2514.1870804796854,2528.949469291134,2543.638617362291,2558.255562122634,2572.808980713418,2585.9600084326885,2599.044667054732,2612.063803286323,2625.0182355656966,2637.9140430288494,2648.9687216735556,2660.495550460528,2672.023309543056,2683.519211044993,2694.937135179209,2704.676059649474,2714.4230957842587,2724.219917559177,2733.9774198714176,2743.6756763770245,2751.682609082551,2759.814724593302,2768.502945075467,2777.1215684394338,2785.818558439708,2792.585571623244,2799.318097057614,2805.986252559028,2812.5902517897416,2819.1305622262557,2823.300390185316,2827.446579779506,2831.632333204774,2835.7834489913253,2839.873514876598
GHANA,88592.48620348293,89201.26370247432,89799.06936222572,90364.62633090734,90919.21948135913,91462.95067780185,91995.9215989903,92518.4574267376,92991.20793861423,93453.39670012375,93905.12228919244,94346.48290989344,94778.41854569307,95150.19033751194,95523.94888888106,95888.4683727976,96243.0764305548,96586.89165162598,96870.72221845992,97146.11826228327,97417.62714375171,97680.63086730678,97933.95746820663,98128.86751031905,98318.76668755495,98513.44569350961,98698.98330157853,98882.36871097078,98996.81443721891,99104.82114355455,99204.6772725969,99296.45807878692,99380.261824703,99382.29072125355,99377.95500754108,99369.53010574251,99354.9350037008,99333.13781209079
GUINEA,105503.76569696254,106271.93424681235,107039.705037409,107780.37978880965,108520.98147434993,109261.57176257773,110002.2110534868,110743.30670637294,111425.2560231044,112107.41512104831,112789.8360798006,113472.56984512844,114155.84101756867,114760.31678860777,115389.34966054969,116021.56948776248,116655.48840149524,117289.12398203196,117851.98726310833,118418.49134835081,118989.8821086955,119562.5018172394,120135.57035209912,120636.5436689247,121145.33955751894,121679.58080642113,122213.69231180978,122754.47097066084,123212.74971233826,123672.0496826353,124131.24662478226,124590.36096377255,125049.4232953245,125404.87050600181,125761.66393083907,126122.8890559314,126485.05517671826,126847.01245682493
GUINEABISSAU,18924.811822589585,19081.673507605632,19238.868504297137,19391.546107745166,19544.616161595488,19698.09054512324,19851.9809283434,20006.364067829403,20150.309784217672,20294.687608098728,20439.50770575841,20584.780058407632,20730.536807547298,20862.172667186605,20998.686048980664,21136.17310219577,21274.361666530942,21412.892159248073,21538.83011395051,21665.83748149124,21794.04508689398,21922.83336708164,22052.07806536086,22168.359040392093,22286.327149167904,22409.009382598786,22532.015699056723,22656.61948452456,22766.29404669114,22876.45707979334,22986.914976348184,23097.671675366106,23208.73283705812,23300.780628247143,23393.36454621956,23487.125571083565,23581.33888445923,23675.78896619756
LIBERIA,19661.800078840202,19662.607411111185,19660.669584111143,19651.272872593887,19639.285300546402,19624.779695526588,19607.82693944835,19588.541343093697,19559.00225534562,19527.292632712037,19493.474268934056,19457.60731185999,19419.941639756686,19370.62434834914,19321.860451845863,19271.493929632008,19219.43115475358,19165.524773631823,19100.21429352843,19033.645342067808,18966.833366220875,18898.85382555343,18829.488832557916,18749.64913470969,18669.5508862625,18591.238002738828,18511.818648110937,18432.607666766642,18341.312077843933,18249.629283317012,18157.21161576644,18064.08491064307,17970.279010846712,17862.844953887186,17755.200582567355,17647.851405887726,17540.33469154616,17432.462980990917
MALI,494219.2077919683,496841.1291888481,499444.1707730213,501904.40255068487,504348.19684509817,506775.8761537755,509187.7533855793,511585.77759790904,513692.77481705614,515786.0906831639,517865.98729498475,519932.71832466417,521987.26095082343,523665.90648230154,525441.4301474837,527217.6742701702,528987.8755713028,530743.6347251048,532169.76894247,533601.8524331852,535042.8847344111,536477.2375919466,537901.7561794745,538993.7868239596,540104.1429148853,541296.5519856147,542477.2814976412,543677.9255652969,544505.1271368803,545327.0912186337,546139.0396335613,546941.0756788265,547733.3434616105,548062.6362111671,548390.7889246823,548731.3194914497,549068.4602095532,549397.2175817208
MAURITANIA,1002620.4460970663,1009903.6398321838,1017181.9408906313,1024200.8396355916,1031219.1516885866,1038237.7048925258,1045257.3124666327,1052282.196769708,1058738.7213156766,1065198.8989917585,1071663.4517194505,1078133.088449562,1084610.085211842,1090336.0273380566,1096293.659944013,1102283.5753176156,1108291.9102237318,1114301.734811145,1119651.996113526,1125045.0817744262,1130486.4593148972,1135943.77583525,1141410.6877784652,1146202.408274724,1151057.1282377825,1156101.8929849435,1161151.1784439364,1166274.5024175684,1170627.1055934818,1174995.1446152527,1179368.751998025,1183748.2874530007,1188134.2023919555,1191540.9427409563,1194968.5131752912,1198447.2291951152,1201942.5516413092,1205443.7021334148
NIGER,434204.3627321774,436342.6410792177,438461.2742033921,440452.43910768715,442426.1885986203,444382.79384236847,446322.5176203687,448247.0420723741,449914.88237619714,451567.8864352352,453206.2719790274,454830.24942978716,456440.6600156713,457720.66553367366,459082.0451703344,460441.32256965636,461792.6266255753,463128.5495407504,464174.26706549793,465222.37636990234,466275.8024609369,467320.8260310903,468354.66038305644,469096.7185121637,469853.0159602341,470680.6166552658,471495.5560776983,472324.8791732968,472827.205830275,473322.86371639,473807.5798662772,474281.44122916885,474744.57024921017,474804.8165537433,474862.31100544863,474928.50019510364,474989.8709342216,475042.0981903751
NIGERIA,356348.96523993555,353488.5433293729,350655.2246785457,347769.3439692812,344912.4581068932,342083.8164466222,339282.6957116579,336509.32656088704,333598.58361612615,330718.4100456821,327868.01550714124,325046.63792554056,322254.3384929489,319284.29727463267,316404.15255754493,313561.01789674186,310750.438186503,307966.34877065895,305031.4756284558,302135.13277470384,299282.023521772,296460.93977426883,293668.81631078623,290736.6543638978,287855.6120008058,285068.723683226,282309.18428555323,279590.2846829698,276714.4112074325,273872.64904592483,271060.5671483072,268277.50060536363,265522.8332600227,262585.2805092681,259684.65771876925,256824.95018478704,253998.822880064,251203.12992807108
SENEGAL,76074.96732429776,76536.80503803495,76996.21918628068,77434.50311970508,77870.66540691166,78304.74461072426,78736.77822491912,79167.04549358768,79553.65722537416,79938.45659127033,80321.47471081905,80702.74176416473,81082.41716898787,81404.92019179574,81742.43969092747,82080.30162606711,82417.48094309417,82752.58610098086,83036.33895912886,83320.85449231912,83607.05142358723,83892.34469646908,84176.18181956164,84408.18912166986,84643.9568179057,84895.60849455441,85145.47389786721,85398.1838001933,85592.04142225385,85785.14946320356,85976.65083758463,86166.5564962675,86354.88444301391,86470.60441350013,86586.03145054866,86703.17283576881,86819.65202938509,86934.6711060342
SIERRALEONE,41870.10901129589,41649.833918392964,41434.050239055236,41212.25020355954,40994.98603598314,40782.12836611653,40573.553261223606,40369.26712498774,40147.94227627688,39931.017701632554,39718.37228121668,39509.88972070082,39305.54660379334,39078.67132578431,38864.15551024697,38654.606690924775,38449.394700304416,38247.76563768801,38027.110958763486,37811.5208623706,37601.35459649434,37395.25537978333,37192.84748950896,36972.0905405929,36757.45053982219,36553.91844783676,36353.76962347787,36158.98253898799,35943.51950276315,35731.9648479618,35523.87072120732,35319.15436285649,35117.73927082933,34890.9695273604,34668.22955470719,34450.30529419613,34236.110668812165,34025.2393127897
TOGO,8139.41363730988,8172.468814701076,8204.610253577795,8233.987397920131,8262.494191649002,8290.136178774985,8316.918790865213,8342.869788401367,8363.986684594407,8384.296438199945,8403.80385513235,8422.513640419029,8440.458924138133,8452.362268473375,8464.942350730053,8476.93483985951,8488.255264320911,8498.775129227664,8503.698977149554,8508.099066687962,8512.160466026735,8515.586690244529,8518.311822949414,8515.541062364617,8512.61146292835,8510.694491452185,8508.08368426706,8505.230799642339,8496.16553485918,8486.60126502507,8476.416353887282,8465.61388822175,8454.197936968696,8435.505246182658,8416.406509696037,8397.068829531741,8377.277276401393,8356.951880759756
